Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
384PP_AQ_BP,384PP_AQ_BP,L24,Template 1,Nunc_384_black_glassbottom,A1,550,Actual concentration: 0.99
384PP_AQ_BP,384PP_AQ_BP,M10,Template 2,Nunc_384_black_glassbottom,A2,300,Actual concentration: 1.00
384PP_AQ_BP,384PP_AQ_BP,M12,Template 3,Nunc_384_black_glassbottom,A3,750,Actual concentration: 1.01
384PP_AQ_BP,384PP_AQ_BP,M14,Template 4,Nunc_384_black_glassbottom,A4,675,Actual concentration: 1.02
384PP_AQ_BP,384PP_AQ_BP,M16,Template 5,Nunc_384_black_glassbottom,A5,200,Actual concentration: 0.98
384PP_AQ_BP,384PP_AQ_BP,M18,Master Mix,Nunc_384_black_glassbottom,A1,44000,Actual concentration: 0.88
384PP_AQ_BP,384PP_AQ_BP,M19,Master Mix,Nunc_384_black_glassbottom,A1,5000,Actual concentration: 0.10
384PP_AQ_BP,384PP_AQ_BP,M19,Master Mix,Nunc_384_black_glassbottom,A2,39000,Actual concentration: 0.78
384PP_AQ_BP,384PP_AQ_BP,M20,Master Mix,Nunc_384_black_glassbottom,A2,10000,Actual concentration: 0.20
384PP_AQ_BP,384PP_AQ_BP,M20,Master Mix,Nunc_384_black_glassbottom,A3,34000,Actual concentration: 0.68
384PP_AQ_BP,384PP_AQ_BP,M21,Master Mix,Nunc_384_black_glassbottom,A3,15000,Actual concentration: 0.30
384PP_AQ_BP,384PP_AQ_BP,M21,Master Mix,Nunc_384_black_glassbottom,A4,29000,Actual concentration: 0.58
384PP_AQ_BP,384PP_AQ_BP,M22,Master Mix,Nunc_384_black_glassbottom,A4,20000,Actual concentration: 0.40
384PP_AQ_BP,384PP_AQ_BP,M22,Master Mix,Nunc_384_black_glassbottom,A5,24000,Actual concentration: 0.48
384PP_AQ_BP,384PP_AQ_BP,M23,Master Mix,Nunc_384_black_glassbottom,A5,25000,Actual concentration: 0.50
384PP_AQ_BP,384PP_AQ_BP,N11,water,Nunc_384_black_glassbottom,A1,450,
384PP_AQ_BP,384PP_AQ_BP,N11,water,Nunc_384_black_glassbottom,A2,700,
384PP_AQ_BP,384PP_AQ_BP,N11,water,Nunc_384_black_glassbottom,A3,250,
384PP_AQ_BP,384PP_AQ_BP,N11,water,Nunc_384_black_glassbottom,A4,325,
384PP_AQ_BP,384PP_AQ_BP,N11,water,Nunc_384_black_glassbottom,A5,800,
