Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
384PP_AQ_BP,384PP_AQ_BP,M24,primer_1F,Nunc_384_black_glassbottom,A1,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,M24,primer_1F,Nunc_384_black_glassbottom,B1,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,M24,primer_1F,Nunc_384_black_glassbottom,C1,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N12,primer_1R,Nunc_384_black_glassbottom,A1,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N12,primer_1R,Nunc_384_black_glassbottom,B1,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N12,primer_1R,Nunc_384_black_glassbottom,C1,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N14,primer_2F,Nunc_384_black_glassbottom,A2,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N14,primer_2F,Nunc_384_black_glassbottom,B2,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N14,primer_2F,Nunc_384_black_glassbottom,C2,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N16,primer_2R,Nunc_384_black_glassbottom,A2,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N16,primer_2R,Nunc_384_black_glassbottom,B2,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N16,primer_2R,Nunc_384_black_glassbottom,C2,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N18,primer_3F,Nunc_384_black_glassbottom,A3,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N18,primer_3F,Nunc_384_black_glassbottom,B3,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N18,primer_3F,Nunc_384_black_glassbottom,C3,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N20,primer_3R,Nunc_384_black_glassbottom,A3,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N20,primer_3R,Nunc_384_black_glassbottom,B3,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N20,primer_3R,Nunc_384_black_glassbottom,C3,2500,Actual concentration: 500.00
384PP_AQ_BP,384PP_AQ_BP,N22,GFP plasmid,Nunc_384_black_glassbottom,A1,75,Actual concentration: 0.11
384PP_AQ_BP,384PP_AQ_BP,N22,GFP plasmid,Nunc_384_black_glassbottom,A2,75,Actual concentration: 0.11
384PP_AQ_BP,384PP_AQ_BP,N22,GFP plasmid,Nunc_384_black_glassbottom,A3,75,Actual concentration: 0.11
384PP_AQ_BP,384PP_AQ_BP,N24,RFP plasmid,Nunc_384_black_glassbottom,B1,50,Actual concentration: 0.09
384PP_AQ_BP,384PP_AQ_BP,N24,RFP plasmid,Nunc_384_black_glassbottom,B2,50,Actual concentration: 0.09
384PP_AQ_BP,384PP_AQ_BP,N24,RFP plasmid,Nunc_384_black_glassbottom,B3,50,Actual concentration: 0.09
384PP_AQ_BP,384PP_AQ_BP,O01,CFP plasmid,Nunc_384_black_glassbottom,C1,75,Actual concentration: 0.10
384PP_AQ_BP,384PP_AQ_BP,O01,CFP plasmid,Nunc_384_black_glassbottom,C2,75,Actual concentration: 0.10
384PP_AQ_BP,384PP_AQ_BP,O01,CFP plasmid,Nunc_384_black_glassbottom,C3,75,Actual concentration: 0.10
384PP_AQ_BP,384PP_AQ_BP,O03,water,Nunc_384_black_glassbottom,A1,44000,
384PP_AQ_BP,384PP_AQ_BP,O04,water,Nunc_384_black_glassbottom,A1,925,
384PP_AQ_BP,384PP_AQ_BP,O04,water,Nunc_384_black_glassbottom,A2,43075,
384PP_AQ_BP,384PP_AQ_BP,O05,water,Nunc_384_black_glassbottom,A2,1850,
384PP_AQ_BP,384PP_AQ_BP,O05,water,Nunc_384_black_glassbottom,A3,42150,
384PP_AQ_BP,384PP_AQ_BP,O06,water,Nunc_384_black_glassbottom,A3,2775,
384PP_AQ_BP,384PP_AQ_BP,O06,water,Nunc_384_black_glassbottom,B1,41225,
384PP_AQ_BP,384PP_AQ_BP,O07,water,Nunc_384_black_glassbottom,B1,3725,
384PP_AQ_BP,384PP_AQ_BP,O07,water,Nunc_384_black_glassbottom,B2,40275,
384PP_AQ_BP,384PP_AQ_BP,O08,water,Nunc_384_black_glassbottom,B2,4675,
384PP_AQ_BP,384PP_AQ_BP,O08,water,Nunc_384_black_glassbottom,B3,39325,
384PP_AQ_BP,384PP_AQ_BP,O09,water,Nunc_384_black_glassbottom,B3,5625,
384PP_AQ_BP,384PP_AQ_BP,O09,water,Nunc_384_black_glassbottom,C1,38375,
384PP_AQ_BP,384PP_AQ_BP,O10,water,Nunc_384_black_glassbottom,C1,6550,
384PP_AQ_BP,384PP_AQ_BP,O10,water,Nunc_384_black_glassbottom,C2,37450,
384PP_AQ_BP,384PP_AQ_BP,O11,water,Nunc_384_black_glassbottom,C2,7475,
384PP_AQ_BP,384PP_AQ_BP,O11,water,Nunc_384_black_glassbottom,C3,36525,
384PP_AQ_BP,384PP_AQ_BP,O12,water,Nunc_384_black_glassbottom,C3,8400,
